Product_Name,Product_Price,Product_MRP_Price,Ratings,Review_Count,Screen Resolution,Screen_Size,Brand_Name,Refresh_Rate,Monitor_Category,Model_Number
"LG - 19M38Hb, 19 Inch (47 Cm) 1366 X 768 Pixels Hd Ready Office Monitor, Tn Panel with Vga, Hdmi Ports (Black)","6,399","M.R.P: ₹9,999₹9,999",3.9 out of 5 stars,587,Display Resolution Maximum 1366 x 768,Screen Size 18.5 Inches,Brand LG,Refresh Rate 60 Hz,Generic Name PC Monitor,Item model number 19M38H
"Dell 21.5 inch FHD Monitor P2222H Featuring Comfortview Plus Technology, Security-Lock Slot, HDMI Port, DisplayPort, VGA Connector, Stand Lock, Height Adjustment 150mm.","11,099","M.R.P: ₹17,999₹17,999",4.6 out of 5 stars,12,Display Resolution Maximum 1920 x 1080,Screen Size 21.5 Inches,Brand Dell,Refresh Rate 60 Hz,Generic Name Monitor,Item model number E2222H
"LG LCD 2560 x 1440 Pixels Ultragear QHD 32 inches / 80 cm 165 Hz 1ms, Nvidia G-Sync Compatible, FreeSync Premium, HDR 10, HDMI, VA Panel Gaming Monitor (Black, 32GN600)",Does not exist,Does not exist,4.1 out of 5 stars,30,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 32 Inches,Brand LG,Refresh Rate 165 Hz,Generic Name Monitor,Item model number 32GN600-B.ATR
"HP V22v 21.5"" (54.6cm) LED 1921 x 1080 Pixels FHD Screen with 178 Degree Viewing Angles, 60Hz, Flicker Free, HDMI 1.4; VGA, 250 nits(450M4A6), V22v FHD Monitor, Black","7,299","M.R.P: ₹9,240₹9,240",4.9 out of 5 stars,15,Display Resolution Maximum 1921 x 1080 Pixels,Screen Size 21.5 Inches,Brand HP,Refresh Rate 60 Hz,Generic Name HP V22v FHD Monitor,Item model number HP V22v FHD Monitor
"AOC 22B2Hn, 21.5 Inch (54.6 Cm) LED 1920 x 1080 Pixels Ultra Slim Monitor with 3 Sided Frameless Design, Va Panel, Hdmi/Vga Port, Full Hd, 7 Ms Response Time, 75 Hz Refresh Rate, Flicker Free, Black","6,099","M.R.P: ₹13,790₹13,790",3.8 out of 5 stars,36,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 22 Inches,Brand AOC,Refresh Rate 75 Hz,Generic Name Monitor,Item model number 22B2HN
"ZEBSTER 19 Inch Led Monitor With Hdmi- Zeb-Ze19Hd (Hdmi+Vga), Black","3,099","M.R.P: ₹4,990₹4,990",3.0 out of 5 stars,44,Display Resolution Maximum 1366x768,Screen Size 19 Inches,Brand ZEBSTER,Refresh Rate 60 Hz,Generic Name monitor,Item model number V19HD
"MSI PRO MP273 Business & Productivity Monitor 27 Inch FullHD (1920 x 1080) 75Hz Refresh Rate, IPS Panel with Eye-Friendly Technology, VESA-Mount Supported, Black",Does not exist,Does not exist,4.4 out of 5 stars,214,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 27 Inches,Brand MSI,Refresh Rate 75 Hz,Generic Name Monitor,Item model number PRO MP273
"Samsung 34-inch(86.4cm) ViewFinity S5 Ultra WQHD, 100Hz, High Resolution Monitor, Bezel-Less Design, HDR10, AMD Free Sync, Eye Care Mode (LS34C500GAWXXL, Black)","36,999","M.R.P: ₹51,199₹51,199",Does not exist,Does not exist,Display Resolution Maximum 3440 x 1440 Pixels,Screen Size 34 Inches,Brand Samsung,Refresh Rate 100 Hz,Generic Name Monitor,Item model number LS34C500GAWXXL
"DELL 17"" (43.18 cm) VGA Monitor 1280 x 1024 Pixels at 60 Hz, 5 Ms, TN Panel, Brightness 250 cd/m2 (Typical), Anti-Glare, 3H Hard Coating, Interface VGA & Display Port|E1715S-Black","10,590","M.R.P: ₹16,999₹16,999",4.3 out of 5 stars,96,Display Resolution Maximum 1280 x 1024,Screen Size 17,Brand Dell,Refresh Rate 60 Hz,Generic Name E-Series,Item model number E1715S
"Zebster (Zebr0nics) ZEB-V16HD 15.4"" HD 1280 x 800 Pixels LED Monitor with HDMI & VGA [Black]","3,100","M.R.P: ₹4,899₹4,899",3.6 out of 5 stars,302,Display Resolution Maximum 1280 x 800 Pixels,Screen Size 15.4 Inches,Brand ZEBSTER,Refresh Rate 60 Hz,Generic Name monitor,Item model number ZEB-V16HD
"ZEBRONICS 22 inch 75Hz Monitor with FHD 1080p, Free sync Support, HDMI, VGA, 250 Nits max, 16.7M Colors, Built-in Speakers and Slim Bezel Less Design ZEB-S22A","6,399","M.R.P: ₹23,999₹23,999",4.2 out of 5 stars,296,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 21.5 Inches,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics 22 inch 75Hz Monitor with FHD 1080p, Free sync support, HDMI, VGA, 250 Nits max, 16.7M colors, Built-in speakers and Slim Bezel less design ZEB-S22A",Item model number ZEB-S22A
"ZEBRONICS AC32FHD LED Curved 75Hz 80Cm (32"") (81.28 Cm) 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Max 250 Nits Brightness, Black","12,999","M.R.P: ₹29,999₹29,999",3.8 out of 5 stars,"1,633",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 80 Centimetres,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics AC32FHD LED Curved 75Hz 80cm (32"") 1920x1080 FHD resolution monitor with HDMI + VGA dual input, Built-in speaker, Wall mount facility, max 250 Nits brightness and Ultra slim bezel",Item model number ZEB-AC32FHD
"Philips 271V8/94 27""(68.58 cm) 1920 x 1080 Pixels IPS Panel Smart Image LCD Monitor with LED Backlight, VGA & HDMI Connectivity, FHD, 4ms Response time, 75Hz Refresh Rate, Flicker Free, Black","9,600","M.R.P: ₹22,990₹22,990",4.3 out of 5 stars,691,Display Resolution Maximum 1920 x 1080 (Full HD),Screen Size 27 Inches,Brand Philips Monitors,Refresh Rate 75,Generic Name Monitor,Item model number 271V8/94
"BenQ GW2490 23.8” 1080p FHD IPS Monitor, 100Hz,99%sRGB,Eye-careU,Dual HDMI,Display Port,Bezel-less,Eyesafe,VESA MediaSync, Brightness Intelligence,Low Blue Light+, Speakers,VESA Wall mountable(Black)","8,698","M.R.P: ₹13,990₹13,990",4.4 out of 5 stars,"21,285",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 23.8 Inches,Brand BenQ,Refresh Rate 100 Hz,Generic Name Monitor,Item model number GW2490
"Philips 276E8VJSB 27""(68.5cm) 3840 x 2160 Pixels 4K UHD IPS LED Computer Monitor, 1 Billion+ Colors, Ultra Narrow Borders, Low Blue, Multi-View, (Black, Gunmetal, 276E8VJSB/94)","21,000","M.R.P: ₹53,990₹53,990",4.1 out of 5 stars,76,Display Resolution Maximum 3840 x 2160 Pixels,Screen Size 27 Inches,Brand Philips Monitors,Refresh Rate 60 Hz,Generic Name Monitor,Item model number 276E8VJSB/94
"BenQ Pd2706Ua 27Inch(68Cm) IPS 4K HDR Ergoarm Monitor,95% P3,99% Rec709 & Srgb,Deltae? 3,Pantone Skintone Validated,Cad/Cam & Animation Mode,Auto Pivot,Pip/Pbp,USB Hub,Hdmi,Dp,USB-C(Pd90W)(Dark Gray)","45,299","M.R.P: ₹63,990₹63,990",4.5 out of 5 stars,29,Display Resolution Maximum 3840 x 2160 Pixels,Screen Size 27 Inches,Brand BenQ,Refresh Rate 60 Hz,Generic Name Monitor,Item model number PD2706UA
"LG 27Up850-W Monitor 27 Inch Uhd (3840 X 2160) Ips Display, Vesa Displayhdr 400, Dci-P3 95% Color Gamut, Usb-C,3-Side Virtually Borderless Display, Height/Pivot/Tilt Adjustable Stand - Silver","36,990","M.R.P: ₹42,000₹42,000",4.2 out of 5 stars,257,Display Resolution Maximum 3840 x 2160 Pixels,Screen Size 27 Inches,Brand LG,Refresh Rate 60 Hz,Generic Name monitor,Item model number 27UP850-W
"Samsung 28-inch(70.8cm) Odyssey G7 Gaming, UHD 4K, 144Hz, 1ms, HAS, IPS Panel, G-Sync Compatible, HDR 400, Smart TV Experience, (LS28BG700EWXXL, Black)","50,949","M.R.P: ₹62,000₹62,000",5.0 out of 5 stars,1,"Display Resolution Maximum 1,920 x 1,080 Pixels",Screen Size 28 Inches,Brand Samsung,Refresh Rate 144 Hz,Generic Name Monitor,Item model number LS28BG700EWXXL
"Lenovo ThinkVision S27e-20 27 Inches (68.58cms) FHD IPS (1920x1080) Pixels Monitor, HDMI, VGA, 60Hz Refresh Rate, Tilt Stand (62AFKAR2WW)- Raven Black","12,999","M.R.P: ₹21,000₹21,000",2.7 out of 5 stars,3,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 27 Inches,Brand Lenovo,Refresh Rate 60 Hz,Generic Name Monitor,Item model number ThinkVision S27e-20
"Dell 32"" (81.28 cm) Curved 4K UHD Monitor - S3221QS, Resolution 3840 x 2160 at 60 Hz, VA-Panel, AMD FreeSync, Built in Dual 5w Speakers, 2 x HDMI, DisplayPort 1.2, 3 xUSB 3.0, Audio line-Out","48,500","M.R.P: ₹69,999₹69,999",4.3 out of 5 stars,267,Display Resolution Maximum 3840 x 2160,Screen Size 31.5 Inches,Brand Dell,Refresh Rate 60,"Generic Name 32"" Monitor",Item model number S3221QS
"Dyanora 22 inch Full HD LED Anti-Glare IPS Panel with Ultra Slim Bezel-Less Design, Free Sync and 2 X 3W Inbuilt Speakers (DY-MN22F0N) (Adaptive Sync, Response Time: 5 ms, 75 Hz Refresh Rate)","5,699","M.R.P: ₹12,999₹12,999",3.9 out of 5 stars,10,Display Resolution Maximum 1080p Full HD Pixels,Screen Size 22 Inches,Brand Dyanora,"Connection Ports: VGA, HDMI, Audio Out. Refresh Rate: 75Hz. Speakers Confi… See more",None,Item model number DY-MN22F0N
"Dell D2020H (49.53 cm) HD+ monitor, TN Panel, Contrast Ratio 600:1/600:1(Dynamic)16.7 Million Colours,Colour Gamut 72% Ntsc(Cie 1931), 3-Year Warranty, HDMI & VGA, Tilt adjustment","5,999","M.R.P: ₹13,719₹13,719",4.2 out of 5 stars,425,Display Resolution Maximum 1600 x 900 (HD+),Screen Size 19.5 Inches,Brand Dell,Refresh Rate 60,Generic Name Monitor,Item model number D2020H
"Riitek 15.6 Inch Portable Touchscreen Monitor 1920 X 1080 Ips Screen Usbc External Travel Monitor With Dual Speakers Mini-Hdmi Usb Type-C For Laptop Pc Phone, Protect Case, Black","17,990","M.R.P: ₹19,990₹19,990",3.1 out of 5 stars,8,None,Screen Size 15.6 Inches,Brand Riitek,Refresh Rate 60 Hz,Generic Name monitor,Item model number RII-MONITOR-15.6IN-01
"Acer EI322QK 31.5 Inch 1500R Curve 4K UHD 3840 x 2160 Pixels Backlit LED LCD Monitor I 90% DCI-P3 Color gamut I HDR 10 I Ergostand Height, Tilt & Swivel I 3xHDMI, 1xDP I Eye Care I Stereo Speakers","25,999","M.R.P: ₹33,999₹33,999",Does not exist,Does not exist,Display Resolution Maximum 3840 x 2160 Pixels,Screen Size 31.5 Inches,Brand Acer,Refresh Rate 60 Hz,Generic Name Monitor,Item model number UM.JE2SI.A03
"MSI PRO MP273P Business & Productivity Monitor 27 Inch FullHD (1920 x 1080) 75Hz Refresh Rate, IPS Panel with Eye-Friendly Technology, VESA-Mount Supported, Tilt/Swivel/Height/Pivot, Black","15,400","M.R.P: ₹22,800₹22,800",4.2 out of 5 stars,52,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 27,Brand MSI,Refresh Rate 75 Hz,Generic Name Monitor,Item model number 9S6-3PB49H-027
"Acer V206HQLA 19.5 Inch(49.5cm) (1600 X 900) Pixels Resolution HD+ LCD Monitor with LED Backlight I 200 Nits Brightness I VGA, HDMI Port with Inbox VGA Cable I Eye Care Features I Black","5,440","M.R.P: ₹12,400₹12,400",4.0 out of 5 stars,68,Display Resolution Maximum 1600 x 900 Pixels,Screen Size 19.5 Inches,Brand Acer,Refresh Rate 60 Hz,Generic Name Monitor,Item model number UM.IV6SI.A01
"Alienware 34"" (86.36 cm) Curved QD-OLED Gaming Monitor-AW3423DWF, WQHD 3440x1440 (DP Port:165Hz, HDMI:100Hz), HDMI, 2 xDP Port 1.4, 5 xSuperSpeed USB 3.2 Gen1, Audio Line-Out Port, Headphone-Out Port.","1,19,490","M.R.P: ₹1,24,600₹1,24,600",4.5 out of 5 stars,199,Display Resolution Maximum 3440 x 1440,Screen Size 34.18 Inches,Brand Dell,Refresh Rate 100,"Generic Name 34"" Monitor",Item model number AW3423DWF
"Philips 2560 x 1440 Pixels 32 inches LCD Monitor with LED Back Lights, with Quad HD Picture Quality 1.07 Billion Colors, Black (325E8/94)","20,160","M.R.P: ₹41,990₹41,990",3.5 out of 5 stars,21,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 31.5 Inches,Brand Philips Monitors,Refresh Rate 75 Hz,Generic Name Monitor,Item model number 325E8/94
"ZEBRONICS Zeb-V16HD LED Monitor with15.4 with Supporting HDMI, has VGA Input, HD 1280 x 800 Pixels, Glossy Panel, Slim Feature and Wall mountable.","2,499","M.R.P: ₹4,999₹4,999",3.6 out of 5 stars,"3,277",Display Resolution Maximum 1280 X 800 (HD) Pixels,Screen Size 39.1 Centimetres,Brand ZEBRONICS,Refresh Rate 60 Hz,"Generic Name Zebronics Zeb-V16HD LED Monitor with15.4 with Supporting HDMI, has VGA Input, HD 1280 x 800, Glossy Panel, Slim Feature and Wall mountable.",Item model number ZEB-V16HD LED
"ZEBRONICS A24FHD LED Monitor, 24 inch (60.96cm), 250 nits, 75Hz, Slim Design, FHD, 1080p, Wall Mountable, HDMI, VGA, Ultra Slim Bezel, Metal Stand, Built-in Speakers","6,999","M.R.P: ₹24,999₹24,999",3.8 out of 5 stars,"1,648",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 60.4 Centimetres,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics ZEB-A24FHD Ultra slim LED monitor with 60.4cm (24”) wide screen, Full HD 1920x1080, 75Hz refresh rate, HDMI, VGA, 250cd/m² brightness, Built in speaker and wall mountable design",Item model number ZEB-A24FHD
"Acer Nitro Ultrawide Xv340Ckp 34 Inch (86.36 Cm) Led IPS Qhd 3440 X 1440 Pixels Gaming Monitor, 1 Ms Vrb, 144Hz Rapid Refresh Rate, AMD Freesync, Hdr10, 2XDp Ports, 2 X Hdmi, 2 X USB 3.0 Ports, Black","32,990","M.R.P: ₹56,990₹56,990",4.1 out of 5 stars,23,Display Resolution Maximum 3440 x 1440 Pixels,Screen Size 34 Inches,Brand Acer,Refresh Rate 144 Hz,Generic Name Monitor,Item model number UM.CX0SS.P02
"BenQ PD3205U 31.5"" (80.01 cm) LCD 3840 x 2160 Pixels 4K Monitor, UHD, sRGB, Rec.709, HDR10, IPS, AQCOLOR Technology, Factory-Calibrated, Color Mode, Darkroom Mode,CAD/CAM Mode,Hotkey Puck G2,KVM,Grey","48,990","M.R.P: ₹69,990₹69,990",4.3 out of 5 stars,152,Display Resolution Maximum 3840 x 2160 Pixels,Screen Size 32 Inches,Brand BenQ,Refresh Rate 60 Hz,Generic Name Monitor,Item model number PD3205U
"Samsung 27-inches 68.6cm 1920 X 1080 (FHD) Pixels Flat Monitor, IPS, 75 Hz, Bezel Less Design, AMD Radeon FreeSync, HDMI, D-sub, Eye Comfort LS27R350FHWXXL, Dark Blue Gray","16,375","M.R.P: ₹21,000₹21,000",4.2 out of 5 stars,141,Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 27 Inches,Brand Samsung,Refresh Rate 75 Hz,Generic Name Monitor,Item model number LS27R350FHWXXL
"LG Full Hd - 22Mk400H, 22 Inches (55 Cm) 1920 X 1080 Pixels, LCD Gaming Monitor - 1Ms, 75Hz, Full Hd, AMD Freesync, Va Panel Monitor, Hdmi & Vga Port (Black)","12,390","M.R.P: ₹15,998₹15,998",4.1 out of 5 stars,"1,960",Display Resolution Maximum 1920 x 1080 (Full HD),Screen Size 21.5 Inches,Brand LG,Refresh Rate 75,Generic Name monitor,Item model number 22MK400H
"Dell S2721HN-Grey 24"" FHD 1920 x 1080 Pixels @75 Hz |Minimalistic Design | IPS Panel |Brightness: 300 cd/m²|Colour Gamut: 99% sRGB | Response Time: 4ms (Extreme), 4ms| Weight: 5.09 Kg.",Does not exist,Does not exist,4.3 out of 5 stars,661,Display Resolution Maximum 1920 x 1080,Screen Size 27 Inches,Brand Dell,Refresh Rate 75 Hz,Generic Name MONITOR,Item model number S2721HN
"GIGABYTE G24F 23.8 Inch (60.452 Cm), 165Hz (170Hz Oc) Gaming Led Monitor with 1920 X 1080 Pixels Ss IPS Display, 1Ms (Mprt) Response Time, 90% Dci-P3/120% Srgb, HDR Ready, Freesync Premium (Black)",Does not exist,Does not exist,4.1 out of 5 stars,179,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 23.8 Inches,Brand GIGABYTE,Refresh Rate 165 Hz,Generic Name GIGABYTE Monitor,Item model number G24F
"LG Electronics 24Mp400 24 Inches (60 Cm) LCD 1920 X 1080 Pixels IPS Monitor - Full Hd, with Vga, Hdmi, Audio Out Ports, AMD Freesync, 75 Hz (Black)","10,490","M.R.P: ₹17,500₹17,500",4.1 out of 5 stars,409,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 60.4 Centimetres,Brand LG,Refresh Rate 75 Hz,Generic Name PC Monitor,Item model number 24MP400-B.BTR
"Enter 15.4 Inch Full Hd Monitor (E-M16Ha Hdmi & Vga Led), Black","2,550","M.R.P: ₹6,999₹6,999",3.4 out of 5 stars,524,None,Screen Size 15.4 Inches,Brand Enter,Refresh Rate 60 Hz,Generic Name monitor,Item model number E-M16HA(HDMI & VGA)
"BenQ EW2780 27 Inch(68cm) 1920 x 1080 Pixels Premium HDR IPS Full HD 3-Side Bezel-Less Monitor, Speakers, AMD Freesync, HDMIx3, VESA Wall Mountable, 75Hz(Black)","16,999","M.R.P: ₹20,990₹20,990",4.3 out of 5 stars,"1,480",Display Resolution Maximum 1920 x 1080 (Full HD),Screen Size 27 Inches,Brand BenQ,Refresh Rate 75 Hz,Generic Name Monitor,Item model number EW2780
"LG 34"" UltraWide™ Curved Monitor WQHD(3440 x 1440) Immersive visuals: HDR 10, Color Calibrated, sRGB 99%, Anti Glare, Speaker(7W x 2), Height Adjustment, HDMI, DP,USB-C (90W PD), HP Out, 35WN75CN","52,990","M.R.P: ₹58,990₹58,990",4.2 out of 5 stars,25,Display Resolution Maximum 3440 x 1440 Pixels,Screen Size 35 Inches,Brand LG,Refresh Rate 100 Hz,Generic Name Monitor,Item model number 35WN75CN-B.ATR
"Riitek 14” Full HD IPS 1080P Portable Monitor Screen Extender with USB A, Type-C, HDMI Cable, Carry Bag for 14”-17” Laptop, Mac, Switch, Xbox One, PS5 (Screen Size - 14 Inch, Grey)","19,990","M.R.P: ₹22,990₹22,990",4.5 out of 5 stars,9,Display Resolution Maximum 1080p Full HD Pixels,Screen Size 14 Inches,Brand RIITEK,Refresh Rate 60 Hz,"Generic Name 14"" Full HD Laptop Screen Extender",Item model number RII-1MONITOR
"GIGABYTE G27Fc 27 Inch (68.58 Cm) 165Hz Curved Gaming LCD Monitor, 1920 X 1080 Pixels Va 1500R Display, 1Ms (Mprt) Response Time, 90% Dci-P3, Freesync Premium, G-Sync Compatible Ready, Black","17,100","M.R.P: ₹46,000₹46,000",4.4 out of 5 stars,34,Display Resolution Maximum 1920x1080,Screen Size 27 Inches,Brand GIGABYTE,Refresh Rate 165,Generic Name Monitor,Item model number G27FC
"ZEBRONICS 22 inch 75Hz Monitor with FHD 1080p, Free sync Support, HDMI, VGA, 250 Nits max, 16.7M Colors, Built-in Speakers and Slim Bezel Less Design ZEB-S22A","6,399","M.R.P: ₹23,999₹23,999",4.2 out of 5 stars,296,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 21.5 Inches,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics 22 inch 75Hz Monitor with FHD 1080p, Free sync support, HDMI, VGA, 250 Nits max, 16.7M colors, Built-in speakers and Slim Bezel less design ZEB-S22A",Item model number ZEB-S22A
"ZEBRONICS AC32FHD LED Curved 75Hz 80Cm (32"") (81.28 Cm) 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Max 250 Nits Brightness, Black","12,999","M.R.P: ₹29,999₹29,999",3.8 out of 5 stars,"1,633",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 80 Centimetres,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics AC32FHD LED Curved 75Hz 80cm (32"") 1920x1080 FHD resolution monitor with HDMI + VGA dual input, Built-in speaker, Wall mount facility, max 250 Nits brightness and Ultra slim bezel",Item model number ZEB-AC32FHD
"MSI MAG 274UPF 27 Inch 4K UHD Esports Gaming Monitor - 3840 x 2160 IPS Panel, 144 Hz / 1ms, G-SYNC Compatible, Adjustable Stand/VESA - Display Port 1.4a & HDMI 2.1 & Type C Port","47,999","M.R.P: ₹78,000₹78,000",5.0 out of 5 stars,1,Display Resolution Maximum 3840 x 2160 Pixels,Screen Size 27 Inches,Brand MSI,Refresh Rate 144 Hz,Generic Name Monitor,Item model number MAG 274UPF
"ZEBRONICS A27FHD LED, Gaming Monitor, 27 inch (68.58cm), 300 nits, 165hz, Slim Design, FHD, 1080p, Wall Mountable, HDMI, DisplayPort, USB Port, Metal Stand, Built-in Speakers","11,999","M.R.P: ₹37,999₹37,999",3.8 out of 5 stars,"1,648",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 68.5 Centimetres,Brand ZEBRONICS,Refresh Rate 165 Hz,"Generic Name Zebronics ZEB-A27FHD Slim Gaming LED monitor with 68.5cm (27”) wide screen, Full HD 1920x1080, 165Hz refresh rate, Display port, HDMI, 300cd/m² brightness, USB, Built in speaker and wall mountable",Item model number ZEB-A27FHD
"Samsung 25-inch(62.2cm) FHD, IPS Gaming, 240Hz, 1ms Flat Monitor, 1920 x 1080 Pixels, Height Adjustable Stand, HDR10, Nvidia G-Sync Compatible, Ultrawide Game View (LS25BG400EWXXL, Black)","19,200","M.R.P: ₹26,900₹26,900",4.4 out of 5 stars,181,"Display Resolution Maximum 1,920 x 1,080 Pixels",Screen Size 25 Inches,Brand Samsung,Refresh Rate 240 Hz,Generic Name MONITOR,Item model number LS25BG400EWXXL
CP PLUS 22-Inch FHD LED Monitor with 1920×1080P | Support Multiple Signal inputs Including HDMI & VGA | 16.7 Million Colors | Slim Design | Anti-Blue Light for Eye-Protection | CP-UEM-22AH,"5,700","M.R.P: ₹14,999₹14,999",4.0 out of 5 stars,48,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 22 Inches,Brand CP PLUS,Refresh Rate 75 Hz,Generic Name Monitor,Item model number CP-UEM-22AH
"AOC 24P2C - 24 Inch FHD Monitor, 75Hz, 4ms, IPS USB-C Dock, Height Adjust, USB Hub, Speakers (1920x1080 @ 75Hz, 250cd/m², HDMI//DP/USB-C/USB 3.2), Black",Does not exist,Does not exist,4.7 out of 5 stars,3,Display Resolution Maximum 1920 x 1080,Screen Size 24 Inches,Brand AOC,Refresh Rate 75 Hz,Generic Name MONITOR,Item model number 24P2C/94
"AOC 24B2XH 60.45 cm (23.8"") LED 1920 x 1080 Pixels (Full HD) Ultra Slim Monitor which is 3 Sided Frameless with IPS Panel HDMI/VGA Port, Full HD, Free Sync, 8 ms Response Time, 75Hz Refresh Rate,Black","8,789","M.R.P: ₹10,999₹10,999",4.4 out of 5 stars,254,Display Resolution Maximum 1920 x 1080 (Full HD),Screen Size 23.8 Inches,Brand AOC,Refresh Rate 75,Generic Name Monitor,Item model number 24B2XH
"Acer V206HQL 1366 x 768 Pixels 19.5 inches(49.5cm) HD LED Backlit Computer Monitor with HDMI, VGA Ports and Stereo Speakers (Multicolour)","6,990","M.R.P: ₹19,000₹19,000",4.0 out of 5 stars,760,Display Resolution Maximum 1366 x 768 Pixels,Screen Size 19.5 Inches,Brand Acer,Refresh Rate 60 Hz,Generic Name Monitor,Item model number V206HQL
"ASUS Zenscreen Mb16Amt 15.6"" Full Hd Portable Monitor Touch Screen Ips Non-Glare Built-In Battery And Speakers Eye Care Usb Type-C Micro Hdmi W/Foldable Smart Case, Black","59,208","M.R.P: ₹80,208₹80,208",3.9 out of 5 stars,"1,000",None,Screen Size 15.6 Inches,Brand ASUS,Refresh Rate 60 Hz,Generic Name monitor,Item model number MB16AMT
"Elista 17.1 Inch (43.4 cm) Square,1280 X 1024 Pixels, Led Monitor with Hdmi and Vga Port Dual Input, Slim Bezel, Stand and Wall Mountable","2,813","M.R.P: ₹6,499₹6,499",2.8 out of 5 stars,39,Display Resolution Maximum 1280 x 1024 Pixels,Screen Size 17.1 Inches,Brand Elista,Refresh Rate 60,Generic Name LED Monitor,Item model number ELS-VS18HD
"Lenovo Thinkvision S24E-20 23.8-Inch Fhd LED Monitor,16:9 Aspect Ratio, 60Hz, 3000:1 Contrast, Hdmi Vga Inputs, Eye Comfort (Raven Black) 62Aekar2Ww","8,499","M.R.P: ₹20,020₹20,020",3.4 out of 5 stars,30,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 23.8 Inches,Brand Lenovo,Refresh Rate 60 Hz,Generic Name Monitor,Item model number 62AEKAR2WW
"Dell 27"" (68.58 cm) UltraSharp 27 Monitor-U2724D, 2560x1440 at 120 Hz, IPS Panel, Adjustability- Height, Tilt, Swivel, Pivot 2 x DisplayPort, 1 x HDMI, 2 x USB-Type C, 3 x USB Type-A, Audio line Out","31,900","M.R.P: ₹49,999₹49,999",4.3 out of 5 stars,8,Display Resolution Maximum 2560 x 1440,Screen Size 27 Inches,Brand Dell,Refresh Rate 120,"Generic Name 27"" Monitor",Item model number U2724D
"GIGABYTE G32QC A 32 Inch(81.28 Cm) 165Hz 1440P Curved Gaming Monitor, LCD 2560 X 1440 Pixels Va 1500R Display, 1Ms (Mprt) Response Time, 93% Dci-P3, 121% Srgb,Vesa Display Hdr400 Black",Does not exist,Does not exist,4.7 out of 5 stars,16,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 31.5 Inches,Brand GIGABYTE,Refresh Rate 165 Hz,Generic Name Monitor,Item model number G32QC A
"Samsung 32-inch(80cm) Odyssey G6 Gaming, 2K QHD, 240Hz, 1ms GTG, 1000R Curved Monitor, Height Adjustable, Pivot, Smart TV Apps, HDR600, AMD FreeSync Premium Pro (LS32BG650EWXXL, Black)","43,199","M.R.P: ₹75,000₹75,000",5.0 out of 5 stars,1,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 32 Inches,Brand Samsung,Refresh Rate 240 Hz,Generic Name Monitor,Item model number LS32BG650EWXXL
"MSI 60.45 cm (23.8-inch) PRO MP241 Professional Monitor Full HD, Anti-Glare, 1920 x 1080 Pixels, LED Display Kit & VESA Mount Support, Designed for Streaming & On-line Video in Office & Studio","7,690","M.R.P: ₹17,999₹17,999",4.3 out of 5 stars,200,Display Resolution Maximum 1920 x 1080,Screen Size 60 Centimetres,Brand MSI,Refresh Rate 60 Hz,Generic Name Monitor,Item model number PRO MP241
"ViewSonic VX2481-MH 24 inches IPS FHD 1920 x 1080 Pixels Super Clear 102% SRGB, 2 x HDMI 1.4, VGA, Flicker Free and Blue Light Filter LED Crossover Monitor (Black)",Does not exist,Does not exist,4.1 out of 5 stars,79,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 24,Brand ViewSonic,Refresh Rate 75,Generic Name Monitor,Item model number VX2481-mh
